
Thread-2::FeetToMetersFilter Reading 
Thread-0::Source reading file...

Thread-1::FahrenheitToCelsiusFilter Reading 
Thread-3::Sink Reading 
Time:                           Temperature (C):        Altitude (m): 
---------------------------------------------------------------------------------
2014:14:13:01:294                            0.0                  0.0 

2014:14:13:01:560                      -29.58453          20582.02301 

2014:14:13:01:560                      -29.58453          20605.55207 

2014:14:13:01:560                      -29.58453          20605.55207 

2014:14:13:01:560                      -28.25729          20605.55207 

2014:14:13:01:560                      -28.25729          20605.55207 

2014:14:13:01:810                      -28.25729          20605.55207 

2014:14:13:01:810                      -28.25729          20605.55207 

2014:14:13:01:810                      -28.25729           21547.2245 

2014:14:13:01:810                      -28.25729           21547.2245 

2014:14:13:01:810                      -27.98389           21547.2245 

2014:14:13:01:810                      -27.98389           21547.2245 

2014:14:13:01:60                       -27.98389           21547.2245 

2014:14:13:01:60                       -27.98389           21547.2245 

2014:14:13:01:60                       -27.98389          21820.21543 

2014:14:13:01:60                       -27.98389          21820.21543 

2014:14:13:01:60                        -27.2805          21820.21543 

2014:14:13:01:60                        -27.2805          21820.21543 

2014:14:13:01:310                       -27.2805          21820.21543 

2014:14:13:01:310                       -27.2805          21820.21543 

2014:14:13:01:310                       -27.2805           22123.4958 

2014:14:13:01:310                       -27.2805           22123.4958 

2014:14:13:01:310                      -27.05186           22123.4958 

2014:14:13:01:310                      -27.05186           22123.4958 

2014:14:13:01:560                      -27.05186           22123.4958 

2014:14:13:01:560                      -27.05186           22123.4958 

2014:14:13:01:560                      -27.05186          22203.15524 

2014:14:13:01:560                      -27.05186          22203.15524 

2014:14:13:01:560                      -24.86811          22203.15524 

2014:14:13:01:560                      -24.86811          22203.15524 

2014:14:13:01:810                      -24.86811          22203.15524 

2014:14:13:01:810                      -24.86811          22203.15524 

2014:14:13:01:810                      -24.86811           22561.8621 

2014:14:13:01:810                      -24.86811           22561.8621 

2014:14:13:01:810                      -24.16556           22561.8621 

2014:14:13:01:810                      -24.16556           22561.8621 

2014:14:13:01:60                       -24.16556           22561.8621 

2014:14:13:01:60                       -24.16556           22561.8621 

2014:14:13:01:60                       -24.16556          22969.53468 

2014:14:13:01:60                       -24.16556          22969.53468 

2014:14:13:01:60                       -21.15709          22969.53468 

2014:14:13:01:60                       -21.15709          22969.53468 

2014:14:13:01:310                      -21.15709          22969.53468 

2014:14:13:01:310                      -21.15709          22969.53468 

2014:14:13:01:310                      -21.15709          22981.08937 

2014:14:13:01:310                      -21.15709          22981.08937 

2014:14:13:01:310                      -21.10606          22981.08937 

2014:14:13:01:310                      -21.10606          22981.08937 

2014:14:13:01:560                      -21.10606          22981.08937 

2014:14:13:01:560                      -21.10606          22981.08937 

2014:14:13:01:560                      -21.10606          23455.05666 

2014:14:13:01:560                      -21.10606          23455.05666 

2014:14:13:01:560                      -20.37492          23455.05666 

2014:14:13:01:560                      -20.37492          23455.05666 

2014:14:13:01:811                      -20.37492          23455.05666 

2014:14:13:01:811                      -20.37492          23455.05666 

2014:14:13:01:811                      -20.37492           23906.0869 

2014:14:13:01:811                      -20.37492           23906.0869 

2014:14:13:01:811                      -17.83687           23906.0869 

2014:14:13:01:811                      -17.83687           23906.0869 

2014:14:13:01:61                       -17.83687           23906.0869 

2014:14:13:01:61                       -17.83687           23906.0869 

2014:14:13:01:61                       -17.83687          24046.54417 

2014:14:13:01:61                       -17.83687          24046.54417 

2014:14:13:01:61                       -17.45654          24046.54417 

2014:14:13:01:61                       -17.45654          24046.54417 

2014:14:13:01:311                      -17.45654          24046.54417 

2014:14:13:01:311                      -17.45654          24046.54417 

2014:14:13:01:311                      -17.45654          24056.48033 

2014:14:13:01:311                      -17.45654          24056.48033 

2014:14:13:01:311                      -16.54613          24056.48033 

2014:14:13:01:311                      -16.54613          24056.48033 

2014:14:13:01:561                      -16.54613          24056.48033 

2014:14:13:01:561                      -16.54613          24056.48033 

2014:14:13:01:561                      -16.54613          24108.26638 

2014:14:13:01:561                      -16.54613          24108.26638 

2014:14:13:01:561                      -13.41628          24108.26638 

2014:14:13:01:561                      -13.41628          24108.26638 

2014:14:13:01:812                      -13.41628          24108.26638 

2014:14:13:01:812                      -13.41628          24108.26638 

2014:14:13:01:812                      -13.41628          24331.91916 

2014:14:13:01:812                      -13.41628          24331.91916 

2014:14:13:01:812                      -13.28222          24331.91916 

2014:14:13:01:812                      -13.28222          24331.91916 

2014:14:13:01:62                       -13.28222          24331.91916 

2014:14:13:01:62                       -13.28222          24331.91916 

2014:14:13:01:62                       -13.28222          24348.81051 

2014:14:13:01:62                       -13.28222          24348.81051 

2014:14:13:01:62                       -11.43866          24348.81051 

2014:14:13:01:62                       -11.43866          24348.81051 

2014:14:13:01:312                      -11.43866          24348.81051 

2014:14:13:01:312                      -11.43866          24348.81051 

2014:14:13:01:312                      -11.43866          24569.32951 

2014:14:13:01:312                      -11.43866          24569.32951 

2014:14:13:01:312                       -9.21928          24569.32951 

2014:14:13:01:312                       -9.21928          24569.32951 

2014:14:13:01:562                       -9.21928          24569.32951 

2014:14:13:01:562                       -9.21928          24569.32951 

2014:14:13:01:562                       -9.21928          24601.17919 

2014:14:13:01:562                       -9.21928          24601.17919 

2014:14:13:01:562                       -8.39873          24601.17919 

2014:14:13:01:562                       -8.39873          24601.17919 

2014:14:13:01:812                       -8.39873          24601.17919 

2014:14:13:01:812                       -8.39873          24601.17919 

